City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Petrolina,BR,-9.4,-40.5,77.0,73,20,12.75,few clouds
265,Abha,SA,18.22,42.51,66.2,27,0,3.87,clear sky
266,Francavilla Al Mare,IT,42.42,14.29,48.2,93,100,4.7,overcast clouds
267,Coquimbo,CL,-29.95,-71.34,53.6,93,0,1.12,clear sky
268,Qesarya,IL,32.52,34.9,73.4,83,100,1.12,overcast clouds
269,Bubaque,GW,11.28,-15.83,83.03,66,2,8.21,clear sky
270,Huanren,CN,41.26,125.37,52.61,41,0,1.77,clear sky
271,Atasu,KZ,48.68,71.64,43.68,53,0,9.22,clear sky
272,San Cristobal,VE,7.77,-72.22,65.19,89,100,2.04,light rain
273,Saskylakh,RU,71.92,114.08,-0.44,85,0,7.16,clear sky
274,Kolokani,ML,13.57,-8.03,72.18,22,0,5.1,clear sky
275,Bogorodskoye,RU,56.55,37.88,38.98,75,100,7.45,overcast clouds
276,Rushden,GB,52.29,-0.6,59.0,81,100,3.0,overcast clouds
277,Eureka,US,40.8,-124.16,44.6,86,90,1.32,fog
278,Ust-Kan,RU,50.93,84.76,30.94,87,100,11.81,light snow
279,Jimeta,NG,9.28,12.47,81.0,45,0,5.08,clear sky
280,Darlawn,IN,24.02,92.9,90.46,37,90,2.68,overcast clouds
281,Honiara,SB,-9.43,159.95,82.4,83,75,5.82,broken clouds
282,Ulladulla,AU,-35.35,150.47,64.4,77,90,9.17,light rain
283,Zonguldak,TR,41.25,31.83,61.66,65,0,1.68,clear sky
284,Torbay,CA,47.67,-52.73,39.99,76,99,4.0,overcast clouds
285,Charters Towers,AU,-20.1,146.27,93.51,10,0,1.92,clear sky
286,Senekal,ZA,-28.32,27.62,77.27,26,97,12.59,overcast clouds
287,Tazovskiy,RU,67.47,78.7,7.86,93,100,12.33,overcast clouds
288,Mitsamiouli,KM,-11.38,43.28,80.02,72,31,10.38,light rain
289,Plettenberg Bay,ZA,-34.05,23.37,59.67,52,25,7.67,scattered clouds
290,Aklavik,CA,68.22,-135.01,5.76,91,6,8.48,clear sky
291,Byron Bay,AU,-28.65,153.62,78.01,73,0,17.22,clear sky
292,Grand Forks,US,47.94,-97.43,28.4,100,90,3.36,overcast clouds
293,Killam,CA,52.78,-111.85,28.99,85,100,5.99,overcast clouds
294,Telimele,GN,10.92,-13.33,65.62,63,0,2.17,clear sky
295,Gravdal,NO,68.12,13.5,30.2,86,40,2.24,scattered clouds
296,Morondava,MG,-20.28,44.28,86.29,54,0,6.53,clear sky
297,Balagansk,RU,54.01,103.05,31.77,82,3,1.59,clear sky
298,Adeje,ES,28.12,-16.73,66.99,68,20,6.93,few clouds
299,Berbera,SO,10.44,45.01,86.2,56,1,4.54,clear sky
300,Itoman,JP,26.12,127.67,77.0,57,20,24.16,few clouds
301,Manado,ID,1.49,124.85,86.2,65,30,7.47,light rain
302,Itainopolis,BR,-7.45,-41.48,77.99,48,100,6.26,overcast clouds
303,Nemuro,JP,43.32,145.57,46.4,75,75,12.75,broken clouds
304,Mandalgovi,MN,45.76,106.27,47.05,47,100,21.0,overcast clouds
305,Nampa,US,43.54,-116.56,46.4,69,1,3.36,clear sky
306,Sawakin,SD,19.11,37.33,88.81,55,37,13.04,scattered clouds
307,Ziezmariai,LT,54.8,24.45,46.0,87,0,3.36,clear sky
308,Lasa,IT,46.62,10.7,39.2,86,75,5.82,broken clouds
309,Babu,CN,24.42,111.52,76.03,65,54,6.38,broken clouds
310,Reconquista,AR,-29.15,-59.65,51.08,76,0,7.94,clear sky
311,Pevek,RU,69.7,170.31,22.82,96,100,12.5,light snow
312,Acapulco,MX,16.86,-99.89,78.51,82,100,5.44,overcast clouds
313,Ngunguru,NZ,-35.62,174.5,64.0,80,100,7.0,overcast clouds
314,Cayenne,GF,4.93,-52.33,77.0,100,0,3.36,clear sky
315,Graaff-Reinet,ZA,-32.25,24.53,55.0,76,100,4.0,overcast clouds
