City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
379,Saint-Joseph,RE,77.0,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
381,Moro,PK,84.2,haze,26.66,68.0,بسم الله هوٽل مسافر کانو
385,Nishihara,JP,77.0,few clouds,26.18,127.76,Minshuku Agaihama
390,Boyolangu,ID,86.5,light rain,-8.12,111.89,Yos ega cv
396,Basco,PH,80.08,broken clouds,20.45,121.97,Nathaniel's Lodge
407,Seka,TH,83.61,overcast clouds,17.93,103.96,โรงแรมเสาวลักษณ์วิลล่า
411,Road Town,VG,82.99,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
413,Natal,BR,77.0,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
416,Raga,SS,78.17,scattered clouds,8.46,25.68,
419,Vieques,PR,82.4,clear sky,18.43,-65.83,Melia Coco Beach
423,Bousso,TD,85.39,clear sky,10.48,16.71,
424,Vanimo,PG,80.46,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
425,Jaffna,LK,83.34,overcast clouds,9.67,80.01,Green Grass Hotel & Restaurant
427,Chavakkad,IN,87.8,haze,10.53,76.05,Rajah Island
433,Balikpapan,ID,85.41,broken clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
438,Mwinilunga,ZM,76.68,broken clouds,-11.74,24.43,Kwakuwahi Lodge
439,Bozdar,PK,82.4,haze,27.18,68.64,Makhdoom Hotel
440,Miri,MY,87.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
442,Sungaipenuh,ID,75.54,light rain,-2.08,101.38,Hotel Jaya Wisata 2
443,Kindu,CD,79.99,overcast clouds,-2.95,25.95,Hotel Karibu
444,Rach Gia,VN,87.8,few clouds,10.02,105.08,Nhà Hàng Hòa Giang
445,Arlit,NE,77.11,clear sky,18.74,7.39,Hôtel Telwa Bungalow
446,Lazaro Cardenas,MX,78.58,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
448,Hoopstad,ZA,78.62,broken clouds,-27.83,25.91,Fouries Guesthouse
452,Ogaminana,NG,76.62,scattered clouds,7.59,6.22,Mashida Guest House
455,Ampanihy,MG,86.22,clear sky,-24.7,44.75,Angora Hotel
459,Adrar,MR,76.96,overcast clouds,20.5,-10.07,
460,Havelock,US,78.01,mist,34.88,-76.9,Sherwood Motel
461,Kudahuvadhoo,MV,83.03,light rain,2.67,72.89,Kudahuvadhoo Retreat
463,Omboue,GA,77.61,overcast clouds,-1.57,9.26,Hotel Olako
467,Am Timan,TD,83.37,scattered clouds,11.03,20.28,Palais du chef Canton Salamt
468,Catuday,PH,82.94,clear sky,16.29,119.81,GResort
472,Porto Novo,BJ,77.0,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
474,San Andres,CO,82.4,broken clouds,12.58,-81.7,Hotel Arena Blanca
483,Urucara,BR,76.48,few clouds,-2.54,-57.76,Pousada Maria Bonita
485,Soe,ID,83.21,light rain,-9.86,124.28,Dena Hotel
487,Sorong,ID,85.6,broken clouds,-0.88,131.25,The Waigo Hotel
488,The Valley,AI,82.4,haze,18.22,-63.06,CeBlue Villas & Beach Resort
490,Mahibadhoo,MV,83.35,clear sky,3.78,72.97,Omadhoo Inn
492,Tonantins,BR,75.54,overcast clouds,-2.87,-67.8,Hotel Rei Davi
